Time,/fdm/jsbsim/aero/alpha-rad,/fdm/jsbsim/aero/beta-rad,/fdm/jsbsim/aero/alpha-deg,/fdm/jsbsim/aero/beta-deg,/fdm/jsbsim/aero/Re,/fdm/jsbsim/aero/qbar-psf,/fdm/jsbsim/aero/alphadot-rad_sec,/fdm/jsbsim/aero/betadot-rad_sec,/fdm/jsbsim/aero/alphadot-deg_sec,/fdm/jsbsim/aero/betadot-deg_sec,/fdm/jsbsim/aero/coefficient/CDo,/fdm/jsbsim/aero/coefficient/CDDf,/fdm/jsbsim/aero/coefficient/CDwbh,/fdm/jsbsim/aero/coefficient/CDDe,/fdm/jsbsim/aero/coefficient/CDbeta,/fdm/jsbsim/aero/coefficient/CYb,/fdm/jsbsim/aero/coefficient/CYda,/fdm/jsbsim/aero/coefficient/CYdr,/fdm/jsbsim/aero/coefficient/CYp,/fdm/jsbsim/aero/coefficient/CYr,/fdm/jsbsim/aero/coefficient/CLwbh,/fdm/jsbsim/aero/coefficient/CLDf,/fdm/jsbsim/aero/coefficient/CLDe,/fdm/jsbsim/aero/coefficient/CLadot,/fdm/jsbsim/aero/coefficient/CLq,/fdm/jsbsim/aero/coefficient/Clb,/fdm/jsbsim/aero/coefficient/Clp,/fdm/jsbsim/aero/coefficient/Clr,/fdm/jsbsim/aero/coefficient/Clda,/fdm/jsbsim/aero/coefficient/Cldr,/fdm/jsbsim/aero/coefficient/Cmo,/fdm/jsbsim/aero/coefficient/Cmalpha,/fdm/jsbsim/aero/coefficient/CmDf,/fdm/jsbsim/aero/coefficient/Cmq,/fdm/jsbsim/aero/coefficient/Cmadot,/fdm/jsbsim/aero/coefficient/Cmde,/fdm/jsbsim/aero/coefficient/Cnb,/fdm/jsbsim/aero/coefficient/Cnp,/fdm/jsbsim/aero/coefficient/Cnr,/fdm/jsbsim/aero/coefficient/Cnda,/fdm/jsbsim/aero/coefficient/Cndr
27.5498898,0.0204362141755684255,5.65694474732864011e-06,1.17090882148549591,0.000324119058960630965,4811907.33873268403,29.4121808164593226,-1.35285119358064985e-07,2.88774831772908789e-07,-7.7512663701407163e-06,1.65455790901880216e-05,163.767022786045516,0,56.36168874570361,25.0667652811834323,0.00492161155896808991,-0.00895894232881432225,6.58823137842599227,-0.308432758138557472,-0.000172245561677622505,0.00503497444789990489,1837.22619094111724,0,144.969459209510831,-1.77980630632356279e-05,-0.00128774199805168255,-0.0928743688087084879,-0.0787674298266316936,0.0896927920279239066,-1091.01111626734428,-1.66553689394821025,2507.68253641132242,-922.455673171820195,0,0.0200623599491333918,0.000266761556971319938,-2620.31253072637537,0.0677893302880283738,-0.00502770828680627804,-0.0854507092015012459,-25.1406909400735827,4.87197866937231527
27.5998896,0.0204362073429614523,5.67174086244267344e-06,1.17090843000595335,0.000324966813909854815,4811907.47630996909,29.4121825353550896,-1.33750089106842296e-07,2.88593472226904417e-07,-7.66331561532074974e-06,1.65351879536275628e-05,163.767032356857158,0,56.3616794568457564,25.0667667461260351,0.00493448464961534095,-0.0089823755630955137,6.58823176345296702,-0.308432776163870381,-0.000172152988116214435,0.00504538430392873546,1837.22611181898151,0,144.969467681762239,-1.75961155160745354e-05,-0.00127938185999490863,-0.0931172933374234957,-0.0787250961871985844,0.0898782257856752947,-1091.01118002781141,-1.66553699128490007,2507.68268296437554,-922.455418669449273,0,0.0199321132854591403,0.00026373471961739953,-2620.31268386170905,0.0679666417607560636,-0.00502500613960841971,-0.0856273793295333902,-25.1406924093365234,4.87197895409868664
27.6498894,0.0204362005892036701,5.68652799800628903e-06,1.17090804304413654,0.000325814054368737764,4811907.60443414282,29.412184139518768,-1.32208577356543925e-07,2.88419350148877061e-07,-7.57499349795882851e-06,1.65252114934365488e-05,163.767041288840488,0,56.3616700933351709,25.0667681132873028,0.00494734991014810551,-0.00900579454400801324,6.58823212278033488,-0.308432792986037707,-0.000172065424633570982,0.00505579041438243646,1837.22602768225693,0,144.969475588511585,-1.73933152193979583e-05,-0.00127115845948380635,-0.0933600701062164001,-0.078685053643243838,0.0900635928713765105,-1091.01123953242336,-1.66553708212460383,2507.68281973537023,-922.455164127814101,0,0.0198039969226246337,0.000260695101053094139,-2620.31282677563286,0.0681438453829939783,-0.00502245023254747902,-0.0858039858898047986,-25.1406937805297552,4.87197921982026916
27.6998892,0.0204361939146232019,5.7013065266599472e-06,1.17090766061884577,0.000326660801688005524,4811907.72306308243,29.4121856284437264,-1.30660781270370357e-07,2.88252454907231432e-07,-7.48631131467421617e-06,1.65156491004694364e-05,163.767049579174682,0,56.3616606548054477,25.0667693822354529,0.00496020766453095664,-0.00902919986127327136,6.58823245629460885,-0.308432808599746699,-0.000171982889135917502,0.00506619305833936207,1837.2259385082566,0,144.969482927261708,-1.71896881129109179e-05,-0.00126307248532092891,-0.0936027052285329231,-0.0786473103832357884,0.0902488982573572129,-1091.01129476238725,-1.66553716643863225,2507.6829466811123,-922.454909545840678,0,0.0196780215918204229,0.000257643090068806037,-2620.31295942301313,0.0683209456169677626,-0.00502004108829164682,-0.0859805336186737629,-25.1406950532202274,4.87197946645314151
27.749889,0.0204361873195348064,5.71607681733728796e-06,1.17090728274811506,0.000327507077005998576,4811907.83215717692,29.4121870016477125,-1.29106913283679693e-07,2.88092782709708751e-07,-7.39728123711635089e-06,1.65065005574458083e-05,163.767057225174483,0,56.3616511409122936,25.0667705525594862,0.00497305823350696011,-0.00905259209874855267,6.58823276388776691,-0.308432822999940182,-0.000171905398996069069,0.00507659251517820261,1837.22584427544916,0,144.969489695635673,-1.69852621455478813e-05,-0.00125512460898461148,-0.0938452047570266651,-0.0786118743517159047,0.090434146921284625,-1091.01134569981423,-1.66553724419967697,2507.6830637604844,-922.454654922615646,0,0.0195541977543346145,0.000254579105569741212,-2620.31308176088532,0.0684979468805307218,-0.0050177792139393133,-0.0861570272575957891,-25.1406962269957184,4.87197969391742181
27.7998888,0.0204361808042480102,5.73083924296173401e-06,1.17090690944967935,0.000328352901689655142,4811907.93167666532,29.4121882586529324,-1.27547163907003654e-07,2.87940336614775955e-07,-7.30791418073465299e-06,1.6497766039602907e-05,163.767064224179506,0,56.3616415513102851,25.0667716238521905,0.00498590194129048918,-0.00907597184661002379,6.58823304545278532,-0.30843283618160755,-0.000171832971053487393,0.00508698906442637232,1837.22574496244033,0,144.969495891278484,-1.6780062381837782e-05,-0.00124731548403059461,-0.0940875748098572579,-0.0785787532493245205,0.0906193438434707565,-1091.01139232698119,-1.66553731538068095,2507.68317093274891,-922.45440025712935,0,0.0194325355922304946,0.000251503523228956887,-2620.31319374668237,0.0686748536393491926,-0.00501566510102071424,-0.0863334715505504474,-25.1406973014478261,4.87197990213396448
27.8498886,0.0204361743690555167,5.74559417071058644e-06,1.1709065407403092,0.000329198296776684826,4811908.02158385236,29.4121893990026706,-1.25981716135210174e-07,2.87795125575642394e-07,-7.21822063036272774e-06,1.64894460599218458e-05,163.767070573646862,0,56.3616318856634493,25.0667725957243341,0.00499873910709969053,-0.00909933968593909515,6.58823330088736014,-0.308432848139959748,-0.000171765621575136162,0.00509738298581511196,1837.22564054869395,0,144.969501511939058,-1.65741128975773554e-05,-0.00123964574656614088,-0.0943298214109019595,-0.0785479545149000979,0.0908044940078422541,-1091.01143462694699,-1.66553737995578244,2507.68326815896808,-922.454145548274028,0,0.0193130450157330096,0.000248416703900159461,-2620.31329533971757,0.0688516702902724903,-0.00501369922435532592,-0.0865098712449764856,-25.1406982761861677,4.87198009102711804
27.8998884,0.0204361680142471566,5.76034197933785652e-06,1.17090617663661045,0.000330043283968094018,4811908.10184178222,29.4121904222513457,-1.24410786321593693e-07,2.87657165502547039e-07,-7.12821298213123047e-06,1.64815415299921643e-05,163.767076271095505,0,56.3616221436518146,25.066773467796164,0.0050115700602258971,-0.009122696216153664,6.588233530091685,-0.3084328588703239,-0.000171703366257872574,0.00510777455916163695,1837.22553101428957,0,144.969506555421162,-1.63674421572065063e-05,-0.00123211601508687696,-0.0945719507741263066,-0.078519485326573088,0.0909896023998550685,-1091.01147258318292,-1.66553743789974895,2507.68335540115004,-922.453890795161215,0,0.0191957356606868336,0.000245319074215071616,-2620.31338650029284,0.0690284013688960696,-0.00501188204212168684,-0.0866862310897717897,-25.1406991508298674,4.87198026052307487
27.9498882,0.0204361617400980709,5.77508303520735066e-06,1.17090581715434783,0.000330887884254982582,4811908.17241469584,29.4121913279679035,-1.22834537191537882e-07,2.87526478433117238e-07,-7.03790055951786494e-06,1.64740537124769051e-05,163.767081314125278,0,56.3616123249562264,25.0667742397003117,0.00502439511918270892,-0.00914604201705263194,6.58823373296920245,-0.308432868368179847,-0.000171646220192290822,0.00511816406442984571,1837.22541633981314,0,144.969511019600134,-1.61600715699157936e-05,-0.00122472689072545258,-0.0948139689101122896,-0.0784933525852313796,0.0911746740075638357,-1091.01150617970006,-1.66553748918817091,2507.68343262254348,-922.453635996695311,0,0.0190806168924303847,0.000242210955059679047,-2620.31346719000658,0.069205051262364925,-0.00501021399480200327,-0.0868625558363236711,-25.1406999250104768,4.87198041055043163
27.999888,0.020436155546875126,5.78981771731207301e-06,1.17090546230881154,0.000331732119352050108,4811908.23326886445,29.4121921157421617,-1.21253199569747885e-07,2.87403093354485713e-07,-6.94729658780404345e-06,1.64669842682164281e-05,163.767085700452355,0,56.3616024292822715,25.0667749110871974,0.00503721461347429473,-0.0091693776884413259,6.58823390942803577,-0.308432876629226138,-0.000171594197881793807,0.00512855178159093116,1837.22529650692968,0,144.969514902454279,-1.59520315040437576e-05,-0.00121747895647809326,-0.0950558820368417323,-0.0784695629232419201,0.0913597138191453023,-1091.0115354012828,-1.6655375337978211,2507.68349978817696,-922.453381152060729,0,0.0189676977937458871,0.000239092801601785269,-2620.3135373723153,0.0693816245092060413,-0.00500869550573884628,-0.0870388502361432448,-25.1407005983773857,4.87198054104124534
