Time,/fdm/jsbsim/forces/fbx-aero-lbs,/fdm/jsbsim/forces/fby-aero-lbs,/fdm/jsbsim/forces/fbz-aero-lbs,/fdm/jsbsim/forces/fwx-aero-lbs,/fdm/jsbsim/forces/fwy-aero-lbs,/fdm/jsbsim/forces/fwz-aero-lbs,/fdm/jsbsim/forces/fbx-gear-lbs,/fdm/jsbsim/forces/fby-gear-lbs,/fdm/jsbsim/forces/fbz-gear-lbs,/fdm/jsbsim/forces/fbx-total-lbs,/fdm/jsbsim/forces/fby-total-lbs,/fdm/jsbsim/forces/fbz-total-lbs,/fdm/jsbsim/forces/load-factor,/fdm/jsbsim/moments/l-aero-lbsft,/fdm/jsbsim/moments/m-aero-lbsft,/fdm/jsbsim/moments/n-aero-lbsft,/fdm/jsbsim/moments/l-gear-lbsft,/fdm/jsbsim/moments/m-gear-lbsft,/fdm/jsbsim/moments/n-gear-lbsft,/fdm/jsbsim/moments/l-total-lbsft,/fdm/jsbsim/moments/m-total-lbsft,/fdm/jsbsim/moments/n-total-lbsft
47.6498094,-194.737406999952896,6.26445303917388863,-2470.41732831198669,245.179100365225082,6.26781603285989242,2465.92205884682335,0,0,0,42.7591274745396959,6.26445303917388863,-2470.41732831198669,-0.994528247140105459,-209.727136789803353,-174.568346576621707,-87.7149790555094171,0,0,0,-0.000231497537214409022,0.000512214874078154025,0.0092776088994668271
47.6998092,-194.737437119039214,6.26442477886876681,-2470.41702402372994,245.179109975313935,6.26779393180647126,2465.92175541129154,0,0,0,42.7590942438035881,6.26442477886876681,-2470.41702402372994,-0.994528338152606772,-209.727139807071921,-174.568182011458475,-87.7150033841882077,0,0,0,-0.000236997543112238418,0.000520384304849130785,0.00927536792367789076
47.749809,-194.737467728708083,6.26439654070693219,-2470.41672300939126,245.179120036430987,6.26777185155788708,2465.92145524954776,0,0,0,42.7590603859905229,6.26439654070693219,-2470.41672300939126,-0.994528430487355064,-209.727142754388865,-174.568017436019773,-87.7150278393924339,0,0,0,-0.000242434842675720574,0.000528476422999801798,0.00927304584820376476
47.7998088,-194.737498823479314,6.26436832480054662,-2470.41642523457176,245.179130543537013,6.26774979216696959,2465.92115832719855,0,0,0,42.7590259082084856,6.26436832480054662,-2470.41642523457176,-0.994528524131135128,-209.72714563147872,-174.567852852769647,-87.7150524199140875,0,0,0,-0.000247808956800099622,0.000536490412173407094,0.00927064357831852703
47.8498086,-194.737530398029321,6.26434013126645528,-2470.41613066686068,245.179141491790517,6.26772775369147794,2465.92086461183499,0,0,0,42.7589908176570077,6.26434013126645528,-2470.41613066686068,-0.994528619070479958,-209.727148438322843,-174.567688264243543,-87.7150771246393504,0,0,0,-0.000253119453816452733,0.000544425561400885272,0.00926816200662017309
47.8998084,-194.737562446834062,6.26431196021507208,-2470.41583927178363,245.179152876124618,6.26770573618297888,2465.92057406898857,0,0,0,42.7589551215690165,6.26431196021507208,-2470.41583927178363,-0.994528715291717824,-209.727151174662936,-174.567523672983953,-87.7151019523887499,0,0,0,-0.000258365821196093748,0.000552281024596368297,0.00926560202115922493
47.9498082,-194.737594964441399,6.26428381175033788,-2470.41555101582526,245.179164691567934,6.26768373968793213,2465.92028666514625,0,0,0,42.7589188272437184,6.26428381175033788,-2470.41555101582526,-0.994528812781226623,-209.72715384047558,-174.567359081466748,-87.7151269019856414,0,0,0,-0.000263547668481578512,0.000560056119638829841,0.00926296454878183795
47.999808,-194.737627945288295,6.26425568598065929,-2470.41526586438704,245.179176933026042,6.26766176425642296,2465.92000236571357,0,0,0,42.7588819420287507,6.26425568598065929,-2470.41526586438704,-0.994528911525105586,-209.727156435556594,-174.567194492184399,-87.7151519722791022,0,0,0,-0.00026866448999385284,0.000567750095285646239,0.00926025045893652532
48.0498078,-194.737661383794887,6.2642275829977061,-2470.41498378297547,245.179189595405063,6.26763980992418368,2465.91972113619977,0,0,0,42.7588444733243023,6.2642275829977061,-2470.41498378297547,-0.994529011509670435,-209.727158959837425,-174.567029907587084,-87.7151771620334273,0,0,0,-0.000273715893854387105,0.000575362265720968935,0.00925746071047228725
48.0998076,-194.737695274342258,6.26419950289802596,-2470.41470473666004,245.179202673563935,6.26761787673121784,2465.91944294167934,0,0,0,42.7588064285822043,6.26419950289802596,-2470.41470473666004,-0.99452911272052047,-209.727161413216436,-174.566865330242081,-87.7152024700593955,0,0,0,-0.00027870145376596156,0.000582891830305243275,0.00925459621188906567
