Time,/fdm/jsbsim/propulsion/tank/contents-lbs,/fdm/jsbsim/propulsion/tank[1]/contents-lbs,/fdm/jsbsim/propulsion/starter_cmd,/fdm/jsbsim/propulsion/magneto_cmd,/fdm/jsbsim/propulsion/active_engine,/fdm/jsbsim/propulsion/total-fuel-lbs,/fdm/jsbsim/propulsion/engine/pitch-angle-rad,/fdm/jsbsim/propulsion/engine/yaw-angle-rad,/fdm/jsbsim/propulsion/engine/advance-ratio,/fdm/jsbsim/propulsion/engine/blade-angle,/fdm/jsbsim/propulsion/engine/thrust-coefficient,/fdm/jsbsim/propulsion/engine/propeller-rpm,/fdm/jsbsim/propulsion/engine/helical-tip-Mach,/fdm/jsbsim/propulsion/engine/constant-speed-mode,/fdm/jsbsim/propulsion/engine/prop-induced-velocity_fps,/fdm/jsbsim/propulsion/engine/thrust-lbs,/fdm/jsbsim/propulsion/engine/fuel-flow-rate-pps,/fdm/jsbsim/propulsion/engine/power-hp,/fdm/jsbsim/propulsion/engine/bsfc-lbs_hphr,/fdm/jsbsim/propulsion/engine/volumetric-efficiency,/fdm/jsbsim/propulsion/engine/map-pa,/fdm/jsbsim/propulsion/engine/map-inhg,/fdm/jsbsim/propulsion/engine/air-intake-impedance-factor,/fdm/jsbsim/propulsion/engine/ram-air-factor,/fdm/jsbsim/propulsion/engine/boost-speed,/fdm/jsbsim/fcs/throttle-cmd-norm,/fdm/jsbsim/fcs/throttle-pos-norm
53.5997856,129.715871119147579,129.715871119147579,0,0,-1,259.431742238295158,0,0,0.782620737125146348,22,0.0467379262874853679,2251.8517316154539,0.68464003782816707,0,8.52222521942121602,225.946534699263594,0.0108145457258338549,89.6612360589224409,0.320000000000000007,0.849999999999999978,57975.8874641376824,17.1203135691026027,0.15185387364528502,1,0,0.723440491407509878,0.723440491407509878
53.6497854,129.715600749296698,129.715600749296698,0,0,-1,259.431201498593396,0,0,0.78259421283775199,22,0.0467405787162248065,2252.03554883391689,0.68469458013416018,0,8.52365867127419108,225.999091281220757,0.0108150361406810849,89.662233023292373,0.320000000000000007,0.849999999999999978,57974.2618692704345,17.1198335299849482,0.15185387364528502,1,0,0.723440491407509878,0.723440491407509878
53.6997852,129.715330368173966,129.715330368173966,0,0,-1,259.430660736347932,0,0,0.782549227055664209,22,0.0467450772944335846,2252.20303696206838,0.684743292848261298,0,8.52553689388800251,226.057081785526123,0.0108154587846095527,89.6628513534283655,0.320000000000000007,0.849999999999999978,57972.6627716601652,17.1193613155228164,0.15185387364528502,1,0,0.723440491407509878,0.723440491407509878
53.749785,129.715059977472521,129.715059977472521,0,0,-1,259.430119954945042,0,0,0.78248583768183344,22,0.0467514162318166601,2252.35420961657519,0.684786183004301607,0,8.52785857763748822,226.120483090319254,0.0108158137348770816,89.6630917051918175,0.320000000000000007,0.849999999999999978,57971.090177330334,17.1188969274949443,0.15185387364528502,1,0,0.723440491407509878,0.723440491407509878
53.7997848,129.714789578883483,129.714789578883483,0,0,-1,259.429579157766966,0,0,0.782404104086136032,22,0.0467595895913864024,2252.48908296632681,0.684823258568213133,0,8.53062241688435563,226.189271179315995,0.0108161010792423642,89.6629547846831798,0.320000000000000007,0.849999999999999978,57969.5440916316875,17.118440367481405,0.15185387364528502,1,0,0.723440491407509878,0.723440491407509878
53.8497846,129.714519174095528,129.714519174095528,0,0,-1,259.429038348191057,0,0,0.782304087080742061,22,0.0467695912919257953,2252.60767572206032,0.684854528432703558,0,8.533827110172993,226.263421156870862,0.0108163209160012635,89.6624413489316225,0.320000000000000007,0.849999999999999978,57968.0245196417891,17.1179916369816105,0.15185387364528502,1,0,0.723440491407509878,0.723440491407509878
53.8997844,129.714248764794831,129.714248764794831,0,0,-1,259.428497529589663,0,0,0.782185848896697955,22,0.04678141511033021,2252.71000912532645,0.684880002411824895,0,8.53747136039029897,226.342907262531583,0.0108164733540231719,89.6615522066181967,0.320000000000000007,0.849999999999999978,57966.531466538836,17.1175507375246809,0.15185387364528502,1,0,0.723440491407509878,0.723440491407509878
53.9497842,129.713978352664583,129.713978352664583,0,0,-1,259.427956705329166,0,0,0.782049453161818398,22,0.0467950546838181644,2252.79610693675659,0.684899691235285046,0,8.54155387488727058,226.427702885486866,0.0108165585127775934,89.6602882186963654,0.320000000000000007,0.849999999999999978,57965.0649379517199,17.117117670772835,0.15185387364528502,1,0,0.723440491407509878,0.723440491407509878
53.999784,129.713707939384904,129.713707939384904,0,0,-1,259.427415878769807,0,0,0.781894964879928489,22,0.0468105035120071553,2252.86599542366503,0.684913606542621456,0,8.54607336556124153,226.51778057855293,0.0108165765223426601,89.6586502988341181,0.320000000000000007,0.849999999999999978,57963.6249402890098,17.1166924386185251,0.15185387364528502,1,0,0.723440491407509878,0.723440491407509878
54.0497838,129.713437526632504,129.713437526632504,0,0,-1,259.426875053265007,0,0,0.781722450411504899,22,0.0468277549588495129,2252.91970334705729,0.684921760877200914,0,8.5510285488978468,226.61311207185301,0.0108165275234229849,89.6566394139758529,0.320000000000000007,0.849999999999999978,57962.2114810463609,17.1162750432752233,0.15185387364528502,1,0,0.723440491407509878,0.723440491407509878
54.0997836,129.713167116080399,129.713167116080399,0,0,-1,259.426334232160798,0,0,0.781531977455732552,22,0.0468468022544267504,2252.95726194807685,0.684924167680089457,0,8.55641814597245798,226.713668286111698,0.0108164116673434927,89.6542565846508239,0.320000000000000007,0.849999999999999978,57960.8245690939802,17.1158654873623099,0.15185387364528502,1,0,0.723440491407509878,0.723440491407509878
