Time,/fdm/jsbsim/velocities/u-fps,/fdm/jsbsim/velocities/v-fps,/fdm/jsbsim/velocities/w-fps,/fdm/jsbsim/velocities/p-rad_sec,/fdm/jsbsim/velocities/q-rad_sec,/fdm/jsbsim/velocities/r-rad_sec,/fdm/jsbsim/velocities/p-aero-rad_sec,/fdm/jsbsim/velocities/q-aero-rad_sec,/fdm/jsbsim/velocities/r-aero-rad_sec,/fdm/jsbsim/velocities/phidot-rad_sec,/fdm/jsbsim/velocities/thetadot-rad_sec,/fdm/jsbsim/velocities/psidot-rad_sec,/fdm/jsbsim/velocities/u-aero-fps,/fdm/jsbsim/velocities/v-aero-fps,/fdm/jsbsim/velocities/w-aero-fps,/fdm/jsbsim/velocities/vc-fps,/fdm/jsbsim/velocities/vt-fps,/fdm/jsbsim/velocities/mach
50.249799,160.584024291977727,-0.424908166996697645,5.37030718032061571,-3.46090492476606101e-05,0.0528570293059328483,8.13345205885298759e-05,-3.46090492476606101e-05,0.0528570293059328483,8.13345205885298759e-05,-2.01258390497650725e-05,0.0528570584853330222,-6.11587601704377185e-05,160.584024291977897,-0.424908166996639802,5.37030718032056509,156.031769234678762,160.674358887682928,0.144897368469223159
50.2997988,160.992130072718084,-0.421968587027640396,5.37063765597903142,-3.86642990422970094e-05,0.0535529872195687345,6.29572550136383804e-05,-3.86642990422970094e-05,0.0535529872195687345,6.29572550136383804e-05,-1.94612955377184048e-05,0.0535529649154037821,-8.19834137260551962e-05,160.992130072718254,-0.421968587027582553,5.37063765597898168,156.433415185213534,161.082239094418128,0.145264107515473001
50.3497986,161.395012903069727,-0.41888239994185561,5.37102088263967659,-4.30717651503472241e-05,0.0542374737322367378,4.29517527866994338e-05,-4.30717651503472241e-05,0.0542374737322367378,4.29517527866994338e-05,-1.8886100825376597e-05,0.0542373956091134271,-0.000104423153656404684,161.395012903069897,-0.418882399941797767,5.37102088263962685,156.829973147711797,161.484901826049452,0.145626144093442045
50.3997984,161.792631259671907,-0.415638558628488752,5.37145312591449198,-4.77347867244451663e-05,0.0549105662560946117,2.16380479804087342e-05,-4.77347867244451663e-05,0.0549105662560946117,2.16380479804087342e-05,-1.83945012144338827e-05,0.0549104288283728467,-0.000128146426522448615,161.792631259672078,-0.41563855862843091,5.37145312591444313,157.221400933521949,161.882305376540558,0.145983440985548163
50.4497982,162.184944527314883,-0.412228593763607876,5.37193114857632992,-5.25587216874885923e-05,0.0555723360357001581,-6.60324252253760634e-07,-5.25587216874885923e-05,0.0555723360357001581,-6.60324252253760634e-07,-1.79801046923289712e-05,0.0555721366779230383,-0.000152818951054099934,162.184944527315054,-0.412228593763550033,5.37193114857628107,157.607657236938593,162.274408974449273,0.146335961816992294
50.499798,162.571912996136291,-0.408646637885279773,5.37245208854078982,-5.74520864363227445e-05,0.0562228475552932969,-2.36195703025003661e-05,-5.74520864363227445e-05,0.0562228475552932969,-2.36195703025003661e-05,-1.76361176128521613e-05,0.0562225845039003649,-0.000178107054905363914,162.571912996136462,-0.408646637885221931,5.37245208854074185,157.988701633441934,162.661172775624863,0.146683671048967179
50.5497978,162.953497857960116,-0.404889422798344611,5.37301335625583221,-6.23275124386374639e-05,0.0568621588196027913,-4.69188369582238776e-05,-6.23275124386374639e-05,0.0568621588196027913,-4.69188369582238776e-05,-1.73554680786680351e-05,0.0568618311660534503,-0.000203680953943687011,162.953497857960286,-0.404889422798286769,5.37301335625578513,158.364494577170206,163.042557855657634,0.147026533971624435
50.5997976,163.329661201892606,-0.400956250571514516,5.37361255353462042,-6.71024188827302012e-05,0.0574903222022426844,-7.02433271372293589e-05,-6.71024188827302012e-05,0.0574903222022426844,-7.02433271372293589e-05,-1.71307254604766108e-05,0.0574899298777816758,-0.000229217932489623994,163.329661201892776,-0.400956250571456674,5.37361255353457334,158.734997397623346,163.41852620224995,0.147364516696985082
50.6497974,163.700366009314877,-0.396848938675072205,5.37424741345495249,-7.1699825874393903e-05,0.0581073856040914064,-9.32872997480349087e-05,-7.1699825874393903e-05,0.0581073856040914064,-9.32872997480349087e-05,-1.69542480242533102e-05,0.0581069293564736716,-0.000254405390934056043,163.700366009315047,-0.396848938675014362,5.37424741345490631,159.100172295781022,163.789040707627521,0.147697586151885218
50.6997972,164.065576148417449,-0.39257174027612507,5.37491575933785271,-7.60490054964650214e-05,0.0587133937248915314,-0.000115756916143083143,-7.60490054964650214e-05,0.0587133937248915314,-0.000115756916143083143,-1.68182634087629893e-05,0.0587128750874796462,-0.000278943722974974784,164.065576148417648,-0.392571740276067227,5.37491575933780652,159.459982339749246,164.154065161065915,0.148025710071028965
50.749797,164.425256368431633,-0.388131240909665109,5.37561547990100763,-8.008598198037408e-05,0.0593083893021268127,-0.000137372903892296893,-8.008598198037408e-05,0.0593083893021268127,-0.000137372903892296893,-1.67148978475127982e-05,0.0593078105558497853,-0.000302548992876907296,164.425256368431832,-0.388131240909607267,5.37561547990096233,159.814391460181383,164.513564241592121,0.148348856990186878
50.7997968,164.779372293699879,-0.383536232997530036,5.37634451725146789,-8.37540157468119064e-05,0.0598924142187092015,-0.000157873012447226786,-8.37540157468119064e-05,0.0598924142187092015,-0.000157873012447226786,-1.66362916534681758e-05,0.0598917783474352747,-0.000324955387814749479,164.779372293700078,-0.383536232997472193,5.37634451725142348,160.163364445480482,164.86750351089816,0.148666996239600502
50.8497966,165.127890417721972,-0.378797569980738658,5.37710086437407142,-8.70039451114449773e-05,0.0604655104235583968,-0.000177014236012530397,-8.70039451114449773e-05,0.0604655104235583968,-0.000177014236012530397,-1.65746764664674985e-05,0.0604648210634963351,-0.000345917421435623488,165.12789041772217,-0.378797569980680815,5.37710086437402701,160.506866936954054,165.215849406501974,0.148980097937608941
50.8997964,165.470778097299643,-0.373928001998148574,5.37788256903294837,-8.97944151694018018e-05,0.0610277206401752537,-0.000194574784514694619,-8.97944151694018018e-05,0.0610277206401752537,-0.000194574784514694619,-1.65224435061804591e-05,0.0610269820239666277,-0.000365211870462848012,165.470778097299842,-0.373928001998090731,5.37788256903290485,160.844865424079757,165.558569235188884,0.149288132984530697
50.9497962,165.808003546885971,-0.368941995226839126,5.37868774142096129,-9.20920318432917281e-05,0.0615790888623994129,-0.000210355786666149445,-9.20920318432917281e-05,0.0615790888623994129,-0.000210355786666149445,-1.64722391343516715e-05,0.0615783057586042973,-0.000382639429694468368,165.808003546886169,-0.368941995226781283,5.37868774142091777,161.177327239999187,165.895631166766321,0.149591073056821178
50.999796,166.139535833232998,-0.363855537167371068,5.37951456340275058,-9.38713935497327155e-05,0.0621196606536704166,-0.000224182711719480188,-9.38713935497327155e-05,0.0621196606536704166,-0.000224182711719480188,-1.64170373316398433e-05,0.0621188383023823371,-0.00039802607348809083,166.139535833233197,-0.363855537167313225,5.37951456340270795,161.504220557252296,166.227004228169761,0.149888890601554942
51.0497958,166.465344870413844,-0.358685930260845609,5.38036129771383287,-9.51150255197067226e-05,0.0626494832755567638,-0.000235906500787412923,-9.51150255197067226e-05,0.0626494832755567638,-0.000235906500787412923,-1.63502098657876079e-05,0.0626486273209064526,-0.000411224116195093117,166.465344870414043,-0.358685930260787711,5.38036129771379112,161.825514383867073,166.552658297958089,0.150181558831262163
51.0997956,166.785401415285264,-0.353451576321381467,5.38122629596784918,-9.58132269292034819e-05,0.0631686056763856585,-0.00024540440164013956,-9.58132269292034819e-05,0.0631686056763856585,-0.00024540440164013956,-1.62655989824398681e-05,0.0631677220967090947,-0.000422112967210725289,166.785401415285463,-0.353451576321323568,5.38122629596780744,162.141178559922025,166.872564101242006,0.150469051719146624
51.1497954,167.099677063437383,-0.348171754330412142,5.38210800475407325,-9.59638186349096869e-05,0.0636770783718343392,-0.000252580504074227967,-9.59638186349096869e-05,0.0636770783718343392,-0.000252580504074227967,-1.6157574117877345e-05,0.0636761734082895714,-0.000430599579507682118,167.099677063437582,-0.348171754330354244,5.38210800475403239,162.451183754445793,167.186693205082804,0.150751343994756176
