Time,/fdm/jsbsim/accelerations/pdot-rad_sec2,/fdm/jsbsim/accelerations/qdot-rad_sec2,/fdm/jsbsim/accelerations/rdot-rad_sec2,/fdm/jsbsim/accelerations/udot-ft_sec2,/fdm/jsbsim/accelerations/vdot-ft_sec2,/fdm/jsbsim/accelerations/wdot-ft_sec2,/fdm/jsbsim/accelerations/a-pilot-x-ft_sec2,/fdm/jsbsim/accelerations/a-pilot-y-ft_sec2,/fdm/jsbsim/accelerations/a-pilot-z-ft_sec2,/fdm/jsbsim/accelerations/n-pilot-x-norm,/fdm/jsbsim/accelerations/n-pilot-y-norm,/fdm/jsbsim/accelerations/n-pilot-z-norm
34.3998624,-4.06565520475623288,-0.0380484062670595896,-0.0167998304394457176,-11.0577950139577705,3.35869670858647673,-0.616742621537241575,1.09529534065748946,-3.9208884845936689,-38.7878200651691358,0.0340718813043030533,-0.121968972290424291,-1.20659145735047679
34.4498622,-0.354446209939598023,-0.00413404965667548557,0.0391843271769791932,-11.1206237531091539,1.75651857556328017,-0.58004120035414175,1.10414882997527553,-0.316817863817213219,-39.7843881796057204,0.0343472910736748877,-0.00985540634600263338,-1.23759218313312624
34.499862,2.54565094222638644,0.012934601955884098,0.063852874643644808,-11.1917506447168495,0.626125185351858016,-0.289864528506349473,1.11716176048174187,2.33286198583768689,-40.5876697249070091,0.0347520905895491311,0.0725694648103485246,-1.26258025023200871
34.5498618,4.80782479591599277,0.0190226285338499571,0.0652847973966387551,-11.2658388369185865,0.216830299109801561,0.0744423809094811872,1.13327363975548323,4.24364213540569679,-41.246393327448942,0.0352532906018441158,0.132009026030081994,-1.28307148356883527
34.5998616,3.62143179429307427,-0.00132859864996208638,0.0229558382200869965,-11.3357029869953934,1.13454501720773848,0.397357591167338597,1.16081744907416229,3.8343429275166927,-40.9823775925284863,0.0361101091848676156,0.119276757835854064,-1.27485861855538762
34.6498614,0.0817843687687387216,-0.0313534853066589417,-0.023242082503779498,-11.3892487033768983,2.51941268719301803,0.355499036693640136,1.21263088149848941,0.420101882778551872,-39.4835348086439595,0.0377218946586106788,0.0130683122208415294,-1.22823339197890191
34.6998612,-2.69107206947369937,-0.0486892872444777344,-0.0410783706425124351,-11.432491583534528,3.37846201567427018,0.0780482700727240797,1.26614026240337929,-2.14703826586826096,-38.3271396676431024,0.0393864368210595089,-0.0667889565809227509,-1.19226084966770896
34.749861,-4.85889946330277223,-0.055860470604954679,-0.0375875338297875644,-11.4717179041901964,3.47433934328139715,-0.230959792228812688,1.31501118737783695,-4.03035201245458463,-37.3615300108255255,0.0409066882940199231,-0.125374107133952944,-1.1622231635823943
34.7998608,-3.27339691555934786,-0.031921727806262637,0.0111840820612304596,-11.5276321970599032,2.21144248119287656,-0.399266992718541047,1.33251227203716294,-3.23449871105154596,-37.2810544425058126,0.0414511029893761193,-0.100617114006633868,-1.15971977120053715
34.8498606,0.103988714329929899,-0.00424572709256419885,0.0574089487411633057,-11.5868471670949518,0.624580140632866265,-0.302568641081766287,1.33517891894422713,0.0217062689218567306,-38.213493352933753,0.0415340556629841678,0.000675227393755578197,-1.18872559885296147
